Ano,Trimestre,Chuva,Tmax,Tmin,Tmean
2016.0,3.0,320.69999999999993,33.0,5.0,15.488850574712643
2016.0,4.0,400.5,38.0,9.1,21.669655172413794
2017.0,1.0,413.2,36.1,13.3,25.164197530864197
2017.0,2.0,486.19999999999993,31.4,4.2,18.334521072796935
2017.0,3.0,276.0,35.5,2.2,18.147318007662832
2017.0,4.0,581.8000000000001,36.2,11.2,21.700038314176243
2018.0,1.0,342.1,36.5,13.7,23.993950617283947
2018.0,2.0,310.7,33.9,2.6,18.183333333333334
2018.0,3.0,431.29999999999995,33.4,3.5,16.054865900383145
2018.0,4.0,252.7,37.9,9.1,22.4739846743295
2019.0,1.0,290.29999999999995,38.5,12.9,24.941111111111113
2019.0,2.0,499.4,34.0,3.6,19.87739463601532
2019.0,3.0,298.9,36.2,2.3,15.354597701149425
2019.0,4.0,341.0,39.0,12.4,22.66624521072797
2020.0,1.0,174.1,38.4,14.3,25.01230158730159
2020.0,2.0,273.4,33.2,4.8,17.87302681992337
2020.0,3.0,580.6,31.3,2.6,15.581800766283527
2020.0,4.0,260.3,37.9,10.2,21.88180076628353
2021.0,1.0,223.1,38.4,16.9,24.751975308641978
2021.0,2.0,364.2,34.3,7.1,17.42337164750958
2021.0,3.0,385.9,34.8,2.1,16.135057471264364
2021.0,4.0,239.5,36.5,9.6,21.692988505747124
2022.0,1.0,399.6,40.1,14.9,24.854197530864194
2022.0,2.0,365.4,34.0,3.4,16.344789272030653
2022.0,3.0,323.9,32.2,4.0,16.14337164750958
2022.0,4.0,201.1,37.2,9.3,21.52126436781609
2023.0,1.0,261.0,38.8,12.0,25.55641975308642
2023.0,2.0,404.5,33.9,5.1,18.464789272030654
2023.0,3.0,741.9,35.6,3.8,16.860613026819923
2023.0,4.0,536.1,38.4,8.8,21.749080459770116
2024.0,1.0,390.20000000000005,37.1,15.3,25.20801587301587
2024.0,2.0,848.9999999999999,33.4,6.7,18.825632183908045
2024.0,3.0,336.00000000000006,32.9,2.9,16.135593869731803
2024.0,4.0,180.0,37.6,10.3,22.768302387267905
