74 -> Machine Learning: Nearest Neighbors || Interpolation: Optimized Normal Ratio || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06406216049210915 | Rel Error: 0.12524208275578744 | Error(%): 6.406216049210915 | R2: 0.009743028479567983
75 -> Machine Learning: Nearest Neighbors || Interpolation: Optimized Normal Ratio || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06837780612244897 | Rel Error: 0.13044587877003594 | Error(%): 6.837780612244897 | R2: -0.1406281342548963
76 -> Machine Learning: Nearest Neighbors || Interpolation: Optimized Normal Ratio || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.07213591211050321 | Rel Error: 0.13482560305611932 | Error(%): 7.213591211050321 | R2: -0.2219627568075766
77 -> Machine Learning: Support Vector || Interpolation: None || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08864576946658503 | Rel Error: 0.169373648906037 | Error(%): 8.864576946658504 | R2: -0.9183587145603502
78 -> Machine Learning: Support Vector || Interpolation: None || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.07058311910074198 | Rel Error: 0.14482222263425035 | Error(%): 7.058311910074198 | R2: -0.21360417280451482
79 -> Machine Learning: Support Vector || Interpolation: None || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.07142729226361041 | Rel Error: 0.13614099445113706 | Error(%): 7.142729226361041 | R2: -0.24010930699820898
80 -> Machine Learning: Support Vector || Interpolation: None || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06808162105038028 | Rel Error: 0.12836290097296235 | Error(%): 6.808162105038027 | R2: -0.12118003150577383
81 -> Machine Learning: Support Vector || Interpolation: Arithmetic Average || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08340079934412788 | Rel Error: 0.15872318015414846 | Error(%): 8.340079934412788 | R2: -0.7591646530958773
82 -> Machine Learning: Support Vector || Interpolation: Arithmetic Average || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06786401871043037 | Rel Error: 0.13768725995080872 | Error(%): 6.7864018710430365 | R2: -0.12132464405169707
83 -> Machine Learning: Support Vector || Interpolation: Arithmetic Average || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.07159740725558526 | Rel Error: 0.1362976610092355 | Error(%): 7.159740725558526 | R2: -0.24282867998836855
84 -> Machine Learning: Support Vector || Interpolation: Arithmetic Average || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.0698157695600943 | Rel Error: 0.13146604119765445 | Error(%): 6.98157695600943 | R2: -0.16656067176823086
85 -> Machine Learning: Support Vector || Interpolation: Inverse Distance Weighted || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08548337438423646 | Rel Error: 0.16165562020377028 | Error(%): 8.548337438423646 | R2: -0.7776139850534416
86 -> Machine Learning: Support Vector || Interpolation: Inverse Distance Weighted || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06637683600233037 | Rel Error: 0.1309959059116896 | Error(%): 6.637683600233037 | R2: -0.0664452539698972
87 -> Machine Learning: Support Vector || Interpolation: Inverse Distance Weighted || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.07002440904419327 | Rel Error: 0.13523959184587567 | Error(%): 7.002440904419327 | R2: -0.21779053687235672
88 -> Machine Learning: Support Vector || Interpolation: Inverse Distance Weighted || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.07104766484721546 | Rel Error: 0.13400177179442316 | Error(%): 7.104766484721546 | R2: -0.21585774281232828
89 -> Machine Learning: Support Vector || Interpolation: Regional Weight || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08412412515438455 | Rel Error: 0.15936119790253706 | Error(%): 8.412412515438456 | R2: -0.7840190097697721
90 -> Machine Learning: Support Vector || Interpolation: Regional Weight || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06535474919784272 | Rel Error: 0.12808713506278813 | Error(%): 6.535474919784272 | R2: -0.039215484844769666
91 -> Machine Learning: Support Vector || Interpolation: Regional Weight || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.07003633271490418 | Rel Error: 0.13432597394763252 | Error(%): 7.003633271490418 | R2: -0.19701562699336606
92 -> Machine Learning: Support Vector || Interpolation: Regional Weight || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06821593580775581 | Rel Error: 0.1300903690803655 | Error(%): 6.821593580775581 | R2: -0.1611108055417898
93 -> Machine Learning: Support Vector || Interpolation: Optimized Normal Ratio || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.09289579468150905 | Rel Error: 0.1754056590401519 | Error(%): 9.289579468150905 | R2: -1.1117047648503462
94 -> Machine Learning: Support Vector || Interpolation: Optimized Normal Ratio || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06441942350635477 | Rel Error: 0.12623949429518416 | Error(%): 6.441942350635477 | R2: -0.016006786407595452
95 -> Machine Learning: Support Vector || Interpolation: Optimized Normal Ratio || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.07260786540049546 | Rel Error: 0.13899533789393131 | Error(%): 7.260786540049546 | R2: -0.28023094412031146
96 -> Machine Learning: Support Vector || Interpolation: Optimized Normal Ratio || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.07071935906336058 | Rel Error: 0.13278270869948894 | Error(%): 7.071935906336058 | R2: -0.20854165852605755
